# parcelid,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,lf10 
14430802,-0.9755,0.5903,-0.4548,0.9920,4.5294,-1.1650,1.2076,-1.6177,2.1890,0.7927
14624315,-0.7431,-0.2386,0.0299,-0.4580,-0.0924,-0.2955,0.3327,-1.5867,0.3828,0.5379
12742754,-0.8307,-0.5591,-0.3271,-0.1726,0.2636,-1.2312,0.4286,-0.4661,0.6674,3.3808
14122707,-0.8015,-0.4589,-0.2285,-0.0166,-0.0859,1.4014,1.5234,1.9815,3.0402,-3.8380
14319622,-0.4749,-0.4989,-0.4685,0.2026,0.6998,-1.2148,0.0119,-0.9932,1.1215,0.8644
14043137,-0.6726,-0.6318,-0.1259,-0.7297,-0.9585,-0.2603,-2.6541,0.8348,0.6352,0.9320
14663822,-0.7388,-0.0133,-0.0461,-0.4714,-0.4711,-1.7115,-1.7403,1.0547,0.7040,2.7251
17118063,-0.7312,-0.6118,-0.1144,-0.5067,-0.4593,-1.5100,-2.9225,0.5816,0.3871,-0.7704
12953910,-0.7930,-0.4974,-0.2356,-0.1899,0.0488,-0.6881,1.6906,-0.0018,-1.0052,0.9114
13061833,-0.5962,-0.8120,0.5283,-1.7244,-2.6733,-0.3235,-4.5126,2.5847,0.5698,2.7951
14669425,-0.7446,-0.6205,-0.1349,-0.5732,-0.6005,-1.5004,0.3800,-0.8739,-0.5574,0.4881
12207347,-0.4846,5.1302,1.3877,-1.4981,-3.8533,-1.6446,2.2870,1.2513,2.0603,-2.8250
13079003,-0.5001,-0.9664,0.1044,-1.6354,-1.9132,-1.6092,-2.3411,0.5599,1.6461,0.9528
12509792,-0.7245,-0.5577,-0.0981,-0.3916,-0.3122,-0.9616,-0.4303,0.5738,0.4357,1.1986
17124221,-1.1021,1.6805,-0.4699,-0.4199,4.4822,-1.5781,0.7903,-0.9304,-2.1389,1.5660
17205418,-0.7216,-0.5682,-0.0904,-0.4216,-0.3619,-0.7941,-2.6917,-1.2294,-1.5796,-3.5338
11401592,-0.7642,-0.4168,-0.2029,0.0138,0.3598,-1.6745,2.6001,-2.7103,-0.0247,5.5905
12906030,-0.7327,-0.5287,-0.1197,-0.3082,-0.1739,-1.0067,-1.3787,-2.1713,-1.5603,-3.9797
11919684,-0.7860,-0.4278,-0.2090,0.0280,0.0805,-0.1500,1.7650,2.7631,1.7332,-1.9353
11628112,-0.7324,-0.3694,-0.2318,-0.1188,0.3371,-0.9742,0.2407,-1.0828,-0.3445,-0.2550
14409222,-0.9246,3.0755,-0.3945,0.2274,4.6331,-0.6693,-1.2792,-0.4317,-1.6337,-1.1360
14428094,-0.8713,-0.2657,-0.3050,0.2477,1.4675,-0.9509,0.6919,-1.2914,1.9572,0.3476
17200039,-0.7163,-0.5870,-0.0764,-0.4759,-0.4518,-0.8852,-0.7291,2.0648,0.4982,-1.0230
11135405,-0.6889,-0.6843,-0.0041,-0.7557,-0.9154,-0.3236,-2.5363,0.0757,0.0391,-1.1083
14365040,-0.8399,-0.4972,-0.2169,-0.1389,0.4024,-2.4931,0.8886,-0.1599,3.5476,-2.1895
14038842,-0.7459,-0.5710,-0.0809,-0.3926,-0.1326,-0.9488,3.0362,3.2774,-2.5969,-0.8088
