parcelid,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,lf10 
17126931,-0.9563,-0.3707,-0.4799,-0.0049,0.2652,-1.1437,4.1054,2.8197,-5.5824,1.5504
10785498,28.9640,2.9213,0.5112,0.0969,-0.2301,19.9082,1.4667,-1.6355,-1.7896,0.4232
12100973,-0.9882,1.0136,-0.4151,-0.5726,-0.7846,-0.4635,0.4935,-0.6666,0.0116,-1.0182
11940437,-0.9326,0.0385,0.0194,-0.3199,-0.4154,-1.0667,1.1112,-1.3913,-0.4563,-0.4456
11401326,-0.9829,0.5790,-0.9070,-0.5366,-0.5567,-1.6885,2.0460,-2.2742,-0.4210,4.2525
14122707,-0.9677,0.3285,-0.9033,-0.1755,0.2587,1.4014,1.5156,2.0087,3.3846,-3.6030
14389949,-0.9257,-0.1124,-0.5448,-0.0735,0.0686,-0.2772,-4.0401,1.9278,-0.3347,0.8719
10907471,-1.0134,0.5810,-1.1021,0.9639,-0.9978,-1.3957,2.1446,-0.1788,-0.8849,0.5968
12156629,-0.9883,-0.1431,-0.4122,-0.3435,-2.2683,-1.6145,1.7770,0.6261,-0.0238,-1.7986
12348025,-0.9602,0.4562,0.0867,-0.3724,0.1948,-0.8391,-0.3342,-0.7055,-0.5930,0.5548
14739040,-0.9528,-0.1320,-0.5345,-0.3556,0.0630,-0.1876,-0.6501,-0.5895,0.4405,0.2319
10861394,-0.8098,-0.6877,-0.2204,0.1920,-0.3569,-0.6449,-1.8510,-0.1180,-0.2243,0.5663
11633410,-0.9928,0.8421,-0.5722,-0.0537,0.1342,-0.9255,2.2266,-0.5155,-0.9150,-0.0108
11450814,-1.0118,-0.2401,-0.1363,-0.7897,-0.9558,-1.2254,0.0979,-0.6305,1.1943,-0.7343
14033239,-0.9319,-0.2817,-0.4861,-0.0850,0.0791,-0.5573,-2.1529,0.0663,0.3353,-1.3546
11857347,-0.8830,-1.0113,0.1249,-0.3907,0.4449,-0.2762,-1.0283,1.7360,-0.6920,0.3511
10726368,-0.9062,2.8510,1.4677,-1.0313,0.8022,-1.4143,1.6319,-1.5189,-0.5359,-1.5323
13880945,-0.9668,0.3360,-0.9332,-0.3840,0.0828,-0.0256,-1.7899,-2.6660,-1.8399,-5.4386
10833093,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.6407,0.2151,-0.9624,0.0549,-0.9009
10945495,-0.9456,0.0727,-0.6246,-0.6364,-1.2462,-0.8609,-1.8169,2.6534,-1.0785,0.6907
14057104,-0.9429,0.1934,0.6358,-0.3594,-0.7371,-1.1595,1.4010,6.3937,7.3321,-6.5336
10880636,-0.9644,0.4856,-0.5872,-0.2378,0.0249,-0.6975,0.8948,-1.4931,0.0633,0.7768
11486701,-0.8619,-2.6393,2.0686,-0.5501,-1.2595,-1.6288,1.6185,-1.6895,-0.5383,1.7623
10862983,-0.9368,-0.0156,-0.5887,-0.1178,0.0519,-1.6292,0.1381,0.5415,0.0604,-2.0371
14694241,-0.9457,0.2019,-0.9520,2.0284,0.0064,-0.2655,1.4345,0.7380,-1.1543,0.0059
12533734,-0.9589,-0.2413,-0.6681,-0.3325,2.4228,-1.0954,0.4291,1.6898,-0.6455,-1.0083
11041746,-0.9140,-0.4636,-0.3407,0.1168,0.1012,-1.3983,-0.0445,-1.1419,0.4551,0.2322
11466276,-0.9335,0.4878,-0.8968,-0.6820,-0.4764,-2.1401,1.0938,-1.7350,-0.1899,0.7423
12990779,-1.1460,-1.7651,0.3978,2.1959,1.2150,-0.8791,7.6243,6.5211,-9.0078,-0.8752
11057902,-0.8318,-1.1946,0.1273,-0.5349,1.9229,-1.1166,-2.4139,0.3215,-0.2667,0.2763
13951291,-0.9351,-0.0410,-0.4535,-0.5011,-1.0187,-0.8668,2.0424,-1.3238,1.0126,-0.0849
14702683,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-1.6677,-1.0789,-0.4374,-0.2710,-0.3939
17243538,-0.9951,1.0448,-0.3456,-0.3440,-0.4050,5.9606,1.8859,-2.4938,1.5665,1.5330
13908851,-0.9491,0.3379,-0.9043,0.2160,-0.1675,-2.0860,2.8787,-2.2131,0.4116,-0.1319
10900118,-0.9438,0.5349,-0.7389,0.1490,-0.0046,0.4528,1.7003,-0.8559,0.3565,-0.2883
12203169,-1.2454,12.4490,11.9615,0.3172,0.8505,-1.1728,2.5146,-1.1090,0.1622,2.2241
13868225,-0.9175,-0.2019,-0.4327,-0.3527,0.1962,-0.6211,-1.7445,0.1184,-0.6983,-1.1493
14655921,-0.9219,-0.5653,-0.2874,0.1865,1.0370,-1.1091,0.5617,-0.6916,-0.7894,0.5795
17202143,-0.9410,0.3510,-0.8136,-0.3267,0.0263,-0.5396,-0.7439,1.9916,3.3628,-4.0706
10803962,-0.7983,-0.0683,-0.6112,-0.3595,-0.0638,-0.9858,-0.9077,0.8428,0.1389,-0.1634
11986474,-0.9806,0.4510,-0.6709,-0.2382,-0.1393,-1.1675,-0.0536,-0.1060,-0.3646,0.9366
11538457,-1.0078,1.2785,0.6548,0.0781,-0.1464,-1.3296,0.4092,-0.6156,0.1377,0.1092
17081666,-1.1699,6.7916,6.2103,0.4109,0.6516,-0.7237,-0.4414,-1.3783,0.4532,-0.5575
14209590,-0.9490,0.3382,-0.9024,0.2050,-0.1636,-1.9766,1.4087,-1.5544,-0.8934,0.7214
12655064,-0.9187,1.6893,0.8778,0.2647,-0.1247,-1.3564,0.1976,-0.7714,-0.2580,2.5383
14298934,-0.9317,-0.3540,-0.3434,-0.1033,0.0475,-1.0052,-1.4428,-0.6278,-0.4665,0.6523
11550940,-0.9493,0.0889,-0.5929,-0.5866,-1.7529,-2.0070,0.2845,-1.5396,-0.1940,-0.1587
12050016,-1.0092,0.2032,-0.8355,-0.3479,-0.1857,0.6166,0.0186,-2.1517,0.4057,-2.1494
12247395,-0.9194,-0.1559,-0.4644,-0.3505,0.1820,-0.6405,0.1186,-1.3613,-0.1126,1.1057
12040864,-0.9939,0.5932,-1.0294,-0.4371,-1.1618,-1.2654,0.8707,-2.0091,0.5775,1.6069
12388138,-1.0421,0.9007,-0.5860,-1.2433,0.0774,-0.2469,0.0030,-0.7501,0.3043,-0.1997
12396811,-0.9646,0.3373,-0.9232,-0.3792,0.0781,-0.8328,-1.0928,-2.3581,-1.5209,-4.1425
11548210,-0.9919,0.8718,-0.4970,-0.2503,-1.0441,-1.8601,1.9450,-1.0545,-0.2440,0.0951
